model,scenario,Category
WITCH 5.0,EN_NPi2020_1800,C5
WITCH 5.0,EN_NPi2020_1800f,C5
WITCH 5.0,EN_NPi2020_2000,C5
WITCH 5.0,EN_NPi2020_2000f,C5
WITCH 5.0,EN_NPi2020_2500,C5
WITCH 5.0,EN_NPi2020_2500f,C5
WITCH 5.0,EN_NPi2020_3000,C6
WITCH 5.0,EN_NPi2020_3000f,C6
WITCH 5.0,EN_NPi2020_400f,C1
WITCH 5.0,EN_NPi2020_450,C1
WITCH 5.0,EN_NPi2020_450f,C1
WITCH 5.0,EN_NPi2020_500,C1
WITCH 5.0,EN_NPi2020_500f,C1
WITCH 5.0,EN_NPi2020_600,C3
WITCH 5.0,EN_NPi2020_600f,C3
WITCH 5.0,EN_NPi2020_700,C3
WITCH 5.0,EN_NPi2020_700f,C3
WITCH 5.0,EN_NPi2020_800,C3
WITCH 5.0,EN_NPi2020_800f,C3
WITCH 5.0,EN_NPi2020_900,C3
WITCH 5.0,EN_NPi2020_900f,C3
WITCH 5.0,EN_NPi2100,C7
WITCH 5.0,EN_NoPolicy,C7
WITCH-GLOBIOM 4.4,CD-LINKS_INDC2030i_1600,C3
WITCH-GLOBIOM 4.4,CD-LINKS_INDCi,C7
WITCH-GLOBIOM 4.4,CD-LINKS_NDC2030i_1000,C2
WITCH-GLOBIOM 4.4,CD-LINKS_NPi,C7
WITCH-GLOBIOM 4.4,CD-LINKS_NPi2020_1000,C1
WITCH-GLOBIOM 4.4,CD-LINKS_NPi2020_1600,C3
WITCH-GLOBIOM 4.4,CD-LINKS_NPi2020_400,C1
WITCH-GLOBIOM 4.4,CD-LINKS_NoPolicy,C7
